,x,y,z,rep,zmodel
0,-1.0,0.0,-3.05,1,-2.9159947747082664
1,-0.995,0.0,-3.0116508262500004,1,-2.8867980341644146
2,-0.99,0.0,-2.97370161,1,-2.857568076106816
3,-0.985,0.0,-2.93614980875,1,-2.8283115169959627
4,-0.98,0.0,-2.89899288,1,-2.7990350536557815
5,-0.975,0.0,-2.86222828125,1,-2.7697454569769357
6,-0.97,0.0,-2.82585347,1,-2.7404495654036616
7,-0.965,0.0,-2.78986590375,1,-2.7111542782172338
8,-0.96,0.0,-2.75426304,1,-2.681866548630053
9,-0.955,0.0,-2.71904233625,1,-2.6525933767051852
10,-0.95,0.0,-2.68420125,1,-2.623341802117095
11,-0.945,0.0,-2.64973723875,1,-2.594118896769965
12,-0.94,0.0,-2.61564776,1,-2.5649317572907644
13,-0.935,0.0,-2.58193027125,1,-2.5357874974148285
14,-0.93,0.0,-2.54858223,1,-2.5066932402822153
15,-0.925,0.0,-2.51560109375,1,-2.477656110663617
16,-0.92,0.0,-2.48298432,1,-2.4486832271349326
17,-0.915,0.0,-2.45072936625,1,-2.4197816942199086
18,-0.91,0.0,-2.41883369,1,-2.3909585945204497
19,-0.905,0.0,-2.387294748749999,1,-2.362220980854288
20,-0.8999999999999999,0.0,-2.3561099999999997,1,-2.3335758684196852
21,-0.8949999999999999,0.0,-2.325276901249999,1,-2.3050302270068013
22,-0.8899999999999999,0.0,-2.294792909999999,1,-2.2765909732750993
23,-0.8849999999999999,0.0,-2.2646554837499995,1,-2.248264963115957
24,-0.8799999999999999,0.0,-2.234862079999999,1,-2.220058984119209
25,-0.8749999999999999,0.0,-2.20541015625,1,-2.1919797481619168
26,-0.8699999999999999,0.0,-2.17629717,1,-2.1640338841371376
27,-0.8649999999999999,0.0,-2.147520578749999,1,-2.136227930839766
28,-0.8599999999999999,0.0,-2.119077839999999,1,-2.1085683300258995
29,-0.8549999999999999,0.0,-2.0909664112499997,1,-2.0810614196612973
30,-0.8499999999999999,0.0,-2.063183749999999,1,-2.0537134273737965
31,-0.8449999999999999,0.0,-2.035727313749999,1,-2.0265304641234723
32,-0.8399999999999999,0.0,-2.0085945599999997,1,-1.9995185181035309
33,-0.8349999999999999,0.0,-1.9817829462499992,1,-1.9726834488838045
34,-0.8299999999999998,0.0,-1.9552899299999995,1,-1.9460309818077304
35,-0.8249999999999998,0.0,-1.9291129687499995,1,-1.919566702652603
36,-0.8199999999999998,0.0,-1.903249519999999,1,-1.893296052561772
37,-0.8149999999999998,0.0,-1.877697041249999,1,-1.8672243232563792
38,-0.8099999999999998,0.0,-1.8524529899999995,1,-1.841356652533047
39,-0.8049999999999998,0.0,-1.8275148237499992,1,-1.8156980200528359
40,-0.7999999999999998,0.0,-1.8028799999999996,1,-1.7902532434256653
41,-0.7949999999999998,0.0,-1.778545976249999,1,-1.7650269745932456
42,-0.7899999999999998,0.0,-1.7545102099999994,1,-1.740023696512511
43,-0.7849999999999998,0.0,-1.7307701587499993,1,-1.7152477201404588
44,-0.7799999999999998,0.0,-1.707323279999999,1,-1.6907031817202387
45,-0.7749999999999998,0.0,-1.6841670312499988,1,-1.6663940403673867
46,-0.7699999999999998,0.0,-1.661298869999999,1,-1.6423240759540758
47,-0.7649999999999998,0.0,-1.638716253749999,1,-1.618496887288386
48,-0.7599999999999998,0.0,-1.616416639999999,1,-1.5949158905847083
49,-0.7549999999999998,0.0,-1.5943974862499992,1,-1.5715843182205893
50,-0.7499999999999998,0.0,-1.5726562499999988,1,-1.548505217774564
51,-0.7449999999999998,0.0,-1.5511903887499991,1,-1.525681451338837
52,-0.7399999999999998,0.0,-1.5299973599999992,1,-1.5031156951000038
53,-0.7349999999999998,0.0,-1.509074621249999,1,-1.4808104391804706
54,-0.7299999999999998,0.0,-1.488419629999999,1,-1.4587679877326603
55,-0.7249999999999998,0.0,-1.4680298437499988,1,-1.4369904592776914
56,-0.7199999999999998,0.0,-1.4479027199999992,1,-1.415479787279764
57,-0.7149999999999997,0.0,-1.428035716249999,1,-1.394237720947209
58,-0.7099999999999997,0.0,-1.4084262899999989,1,-1.3732658262508335
59,-0.7049999999999997,0.0,-1.389071898749999,1,-1.3525654871499952
60,-0.6999999999999997,0.0,-1.3699699999999988,1,-1.3321379070166888
61,-0.6949999999999997,0.0,-1.351118051249999,1,-1.3119841102477778
62,-0.6899999999999997,0.0,-1.332513509999999,1,-1.2921049440554766
63,-0.6849999999999997,0.0,-1.314153833749999,1,-1.27250108042616
64,-0.6799999999999997,0.0,-1.296036479999999,1,-1.2531730182375886
65,-0.6749999999999997,0.0,-1.278158906249999,1,-1.2341210855247486
66,-0.6699999999999997,0.0,-1.2605185699999988,1,-1.2153454418845602
67,-0.6649999999999997,0.0,-1.2431129287499991,1,-1.1968460810098993
68,-0.6599999999999997,0.0,-1.225939439999999,1,-1.1786228333435005
69,-0.6549999999999997,0.0,-1.2089955612499992,1,-1.160675368842544
70,-0.6499999999999997,0.0,-1.192278749999999,1,-1.14300319984495
71,-0.6449999999999997,0.0,-1.1757864637499988,1,-1.1256056840286153
72,-0.6399999999999997,0.0,-1.159516159999999,1,-1.108482027455124
73,-0.6349999999999997,0.0,-1.143465296249999,1,-1.0916312876897232
74,-0.6299999999999997,0.0,-1.1276313299999992,1,-1.0750523769896487
75,-0.6249999999999997,0.0,-1.112011718749999,1,-1.0587440655531664
76,-0.6199999999999997,0.0,-1.0966039199999993,1,-1.0427049848220311
77,-0.6149999999999997,0.0,-1.0814053912499988,1,-1.0269336308303274
78,-0.6099999999999997,0.0,-1.066413589999999,1,-1.011428367593008
79,-0.6049999999999996,0.0,-1.0516259737499989,1,-0.9961874305277221
80,-0.5999999999999996,0.0,-1.0370399999999989,1,-0.9812089299038524
81,-0.5949999999999996,0.0,-1.0226531262499992,1,-0.9664908543129654
82,-0.5899999999999996,0.0,-1.0084628099999988,1,-0.9520310741551962
83,-0.5849999999999996,0.0,-0.9944665087499992,1,-0.9378273451363546
84,-0.5799999999999996,0.0,-0.9806616799999988,1,-0.9238773117708522
85,-0.5749999999999996,0.0,-0.9670457812499992,1,-0.9101785108857926
86,-0.5699999999999996,0.0,-0.9536162699999988,1,-0.8967283751218605
87,-0.5649999999999996,0.0,-0.940370603749999,1,-0.8835242364268697
88,-0.5599999999999996,0.0,-0.9273062399999992,1,-0.8705633295381277
89,-0.5549999999999996,0.0,-0.914420636249999,1,-0.8578427954499059
90,-0.5499999999999996,0.0,-0.901711249999999,1,-0.8453596848626852
91,-0.5449999999999996,0.0,-0.889175538749999,1,-0.8331109616108819
92,-0.5399999999999996,0.0,-0.8768109599999989,1,-0.8210935060661009
93,-0.5349999999999996,0.0,-0.864614971249999,1,-0.8093041185130715
94,-0.5299999999999996,0.0,-0.8525850299999991,1,-0.7977395224956342
